,t,Reproduction S,Death S,Death I,Dispersal I,Dispersal S,Extinction,Infection,Recovery
889,8.123187576127272,9775.5,7414.352999999999,770.3000000000001,385.15000000000003,325.84999999999997,2.0000000000000004,12225.485,11554.5
890,8.129582453200822,9819.0,7453.8645,768.8000000000001,384.40000000000003,327.30000000000007,2.0000000000000004,12261.755,11532.0
891,8.13598459668582,9835.5,7464.870000000001,767.1,383.55,327.85,2.0000000000000004,12262.405,11506.5
892,8.142400194089706,9882.0,7513.749,766.7,383.35,329.4,2.0000000000000004,12302.410000000005,11500.5
893,8.14881853295447,9876.0,7508.830499999998,767.5,383.75,329.20000000000005,2.0000000000000004,12296.545,11512.5
894,8.15523609059883,9883.5,7519.233,768.1,384.05,329.44999999999993,2.0000000000000004,12310.494999999999,11521.5
895,8.161647832930631,9889.5,7534.714499999999,769.8000000000001,384.90000000000003,329.6499999999999,2.0000000000000004,12321.330000000004,11547.0
896,8.168050683966593,9900.0,7543.547999999999,770.6999999999999,385.34999999999997,329.99999999999994,2.0000000000000004,12313.390000000001,11560.5
897,8.174466101228871,9919.5,7557.402,770.4,385.2,330.65000000000003,2.0000000000000004,12347.445000000002,11556.0
898,8.180876048771696,9924.0,7554.271500000001,770.0999999999999,385.04999999999995,330.79999999999995,2.0000000000000004,12329.125,11551.5
899,8.187304983303909,9951.0,7583.532000000001,769.4,384.7,331.70000000000005,2.0000000000000004,12343.49,11541.0
900,8.193740449803988,9997.5,7617.7605,767.4000000000001,383.70000000000005,333.24999999999994,2.0000000000000004,12323.240000000002,11511.0
901,8.200225476333033,9982.5,7603.107,768.1999999999999,384.09999999999997,332.75,2.0000000000000004,12320.015,11523.0
902,8.206702901624778,9988.5,7610.557500000001,768.4,384.2,332.9500000000001,2.0000000000000004,12329.730000000001,11526.0
903,8.213177058075008,10024.5,7644.577500000001,767.6,383.8,334.15000000000003,2.0000000000000004,12342.169999999998,11514.0
904,8.219667192087986,10051.5,7671.606,767.0000000000002,383.5000000000001,335.04999999999995,2.0000000000000004,12353.085000000001,11505.0
905,8.226167331115283,10068.0,7686.1095,767.4,383.7,335.6000000000001,2.0000000000000004,12341.574999999999,11511.0
